order_id,item_number,product_category,price,freight_value
ord_000000,1,computers_accessories,44.1,16.09
ord_000001,1,health_beauty,283.36,18.28
ord_000001,2,sports_leisure,499.82,11.78
ord_000002,1,furniture_decor,538.44,40.76
ord_000003,1,garden_tools,246.67,21.7
ord_000004,1,pet_shop,421.4,28.61
ord_000005,1,food_drink,571.49,19.64
ord_000006,1,computers_accessories,501.21,21.39
ord_000006,2,pet_shop,102.84,26.26
ord_000007,1,watches_gifts,613.44,33.17
ord_000008,1,perfumery,337.38,11.94
ord_000008,2,garden_tools,549.46,26.78
ord_000008,3,health_beauty,252.44,13.98
ord_000008,4,food_drink,600.75,41.98
ord_000009,1,food_drink,69.39,25.98
ord_000009,2,bed_bath_table,497.98,36.34
ord_000010,1,auto,467.72,22.76
ord_000010,2,auto,252.12,41.29
ord_000011,1,bed_bath_table,57.8,9.16
ord_000012,1,housewares,273.48,11.49
ord_000013,1,cool_stuff,523.38,12.04
ord_000014,1,electronics,100.32,32.13
ord_000014,2,watches_gifts,24.37,11.45
ord_000015,1,toys,303.93,23.65
ord_000016,1,perfumery,51.3,29.61
ord_000017,1,health_beauty,580.33,17.11
ord_000018,1,computers_accessories,573.98,19.1
ord_000019,1,fashion_bags_accessories,573.34,21.67
ord_000019,2,health_beauty,544.43,34.03
ord_000019,3,telephony,641.89,32.2
ord_000020,1,sports_leisure,399.07,34.55
ord_000021,1,bed_bath_table,504.66,31.57
ord_000022,1,babies,384.89,13.48
ord_000023,1,fashion_bags_accessories,273.05,30.96
ord_000023,2,health_beauty,605.47,39.99
ord_000024,1,cool_stuff,172.59,13.89
ord_000025,1,sports_leisure,434.12,22.74
ord_000025,2,sports_leisure,59.08,36.61
ord_000026,1,pet_shop,39.29,30.07
ord_000027,1,stationery,356.92,34.62
ord_000028,1,electronics,613.66,19.11
ord_000029,1,health_beauty,376.38,23.02
ord_000029,2,babies,207.96,15.78
ord_000030,1,garden_tools,195.2,32.56
ord_000030,2,garden_tools,74.3,43.22
ord_000031,1,garden_tools,138.47,33.77
ord_000032,1,toys,456.9,25.19
ord_000033,1,food_drink,581.06,30.67
ord_000034,1,perfumery,346.03,31.19
ord_000035,1,auto,55.79,23.08
ord_000036,1,food_drink,204.62,22.43
ord_000037,1,computers_accessories,571.66,37.53
ord_000038,1,health_beauty,308.18,9.86
ord_000039,1,bed_bath_table,27.31,27.96
ord_000040,1,housewares,87.64,43.07
ord_000041,1,bed_bath_table,31.31,19.54
ord_000041,2,auto,623.44,22.68
ord_000041,3,cool_stuff,63.26,33.55
ord_000042,1,furniture_decor,373.13,21.71
ord_000042,2,watches_gifts,231.68,39.43
ord_000043,1,pet_shop,186.5,37.9
ord_000043,2,watches_gifts,322.02,24.12
ord_000044,1,furniture_decor,427.55,20.03
ord_000045,1,perfumery,453.54,31.9
ord_000046,1,housewares,352.14,23.74
ord_000047,1,perfumery,132.57,16.01
ord_000048,1,bed_bath_table,354.18,18.15
ord_000049,1,housewares,231.35,43.72
ord_000050,1,food_drink,69.09,17.18
ord_000050,2,watches_gifts,279.27,30.06
ord_000051,1,garden_tools,402.12,35.38
ord_000052,1,telephony,199.95,16.56
ord_000053,1,toys,140.62,12.25
ord_000054,1,housewares,208.1,34.34
ord_000055,1,sports_leisure,443.18,39.84
ord_000056,1,health_beauty,386.68,31.49
ord_000056,2,housewares,72.94,20.87
ord_000056,3,furniture_decor,572.7,39.74
ord_000057,1,pet_shop,271.65,27.04
ord_000058,1,health_beauty,363.75,42.32
ord_000058,2,computers_accessories,595.91,12.49
ord_000059,1,health_beauty,543.41,26.44
ord_000060,1,health_beauty,395.6,35.61
ord_000061,1,babies,383.25,32.42
ord_000061,2,electronics,388.12,25.92
ord_000062,1,bed_bath_table,487.89,34.09
ord_000062,2,babies,260.16,32.56
ord_000063,1,watches_gifts,305.15,34.73
ord_000064,1,electronics,333.2,19.72
ord_000064,2,cool_stuff,497.22,40.28
ord_000065,1,fashion_bags_accessories,296.74,33.68
ord_000066,1,health_beauty,402.03,22.15
ord_000067,1,sports_leisure,362.09,16.1
ord_000068,1,bed_bath_table,257.17,21.28
ord_000068,2,furniture_decor,596.75,8.81
ord_000069,1,books_general_interest,507.6,16.51
ord_000069,2,toys,154.07,15.03
ord_000070,1,furniture_decor,127.98,41.66
ord_000071,1,sports_leisure,119.49,41.82
ord_000072,1,cool_stuff,637.26,43.79
ord_000072,2,toys,247.27,37.26
ord_000073,1,bed_bath_table,163.48,8.93
ord_000073,2,fashion_bags_accessories,371.49,41.86
ord_000073,3,sports_leisure,55.14,38.48
ord_000074,1,health_beauty,303.06,32.81
ord_000074,2,cool_stuff,615.69,23.51
ord_000075,1,sports_leisure,297.38,16.74
