order_id,payment_type,payment_installments,payment_value
ord_000000,boleto,1,60.19
ord_000001,boleto,1,813.24
ord_000002,credit_card,2,579.2
ord_000003,voucher,1,268.37
ord_000004,boleto,1,450.01
ord_000005,voucher,1,591.13
ord_000006,credit_card,6,651.7
ord_000007,credit_card,1,646.61
ord_000008,credit_card,4,1834.71
ord_000009,voucher,1,629.69
ord_000010,boleto,1,783.89
ord_000011,credit_card,1,66.96
ord_000012,debit_card,1,284.97
ord_000013,boleto,1,535.42
ord_000014,credit_card,6,168.27
ord_000015,credit_card,12,327.58
ord_000016,credit_card,3,80.91
ord_000017,credit_card,4,597.44
ord_000018,credit_card,1,593.08
ord_000019,boleto,1,1847.56
ord_000020,credit_card,1,433.62
ord_000021,credit_card,1,536.23
ord_000022,debit_card,1,398.37
ord_000023,boleto,1,949.47
ord_000024,credit_card,5,186.48
ord_000025,credit_card,2,552.55
ord_000026,credit_card,1,69.36
ord_000027,boleto,1,391.54
ord_000028,debit_card,1,632.77
ord_000029,credit_card,6,623.14
ord_000030,credit_card,1,345.28
ord_000031,boleto,1,172.24
ord_000032,boleto,1,482.09
ord_000033,credit_card,5,611.73
ord_000034,credit_card,1,377.22
ord_000035,credit_card,3,78.87
ord_000036,debit_card,1,227.05
ord_000037,credit_card,5,609.19
ord_000038,boleto,1,318.04
ord_000039,credit_card,12,55.27
ord_000040,credit_card,2,130.71
ord_000041,boleto,1,793.78
ord_000042,voucher,1,665.95
ord_000043,credit_card,5,570.54
ord_000044,credit_card,3,447.58
ord_000045,debit_card,1,485.44
ord_000046,credit_card,5,375.88
ord_000047,boleto,1,148.58
ord_000048,voucher,1,372.33
ord_000049,credit_card,1,275.07
ord_000050,boleto,1,395.6
ord_000051,credit_card,10,437.5
ord_000052,boleto,1,216.51
ord_000053,debit_card,1,152.87
ord_000054,boleto,1,242.44
ord_000055,credit_card,3,483.02
ord_000056,credit_card,1,1124.42
ord_000057,credit_card,12,298.69
ord_000058,boleto,1,1014.47
ord_000059,boleto,1,569.85
ord_000060,debit_card,1,431.21
ord_000061,credit_card,1,829.71
ord_000062,credit_card,8,814.7
ord_000063,credit_card,2,339.88
ord_000064,credit_card,1,890.42
ord_000065,credit_card,10,330.42
ord_000066,boleto,1,424.18
ord_000067,credit_card,10,378.19
ord_000068,voucher,1,884.01
ord_000069,boleto,1,693.21
ord_000070,boleto,1,169.64
ord_000071,boleto,1,161.31
ord_000072,debit_card,1,965.58
ord_000073,credit_card,10,679.38
ord_000074,debit_card,1,975.07
ord_000075,credit_card,2,314.12
ord_000076,credit_card,12,248.81
ord_000077,voucher,1,56.56
ord_000078,credit_card,2,196.2
ord_000079,credit_card,4,518.42
ord_000080,credit_card,1,781.76
ord_000081,debit_card,1,686.43
ord_000082,credit_card,1,233.03
ord_000083,credit_card,3,96.49
ord_000084,credit_card,1,182.39
ord_000085,credit_card,1,991.69
ord_000086,credit_card,1,70.08
ord_000087,debit_card,1,57.62
ord_000088,boleto,1,419.14
ord_000089,credit_card,3,512.49
ord_000090,boleto,1,1075.39
ord_000091,credit_card,6,504.79
ord_000092,credit_card,1,97.75
ord_000093,boleto,1,264.17
ord_000094,credit_card,1,60.52
ord_000095,boleto,1,448.82
ord_000096,voucher,1,196.52
ord_000097,credit_card,1,436.48
ord_000098,boleto,1,1091.59
ord_000099,credit_card,1,655.76
ord_000100,voucher,1,437.55
ord_000101,credit_card,5,1344.57
ord_000102,boleto,1,579.29
ord_000103,voucher,1,379.73
ord_000104,credit_card,1,177.37
ord_000105,voucher,1,612.74
ord_000106,credit_card,3,93.84
ord_000107,credit_card,3,166.66
ord_000108,voucher,1,1620.24
ord_000109,credit_card,1,558.12
ord_000110,boleto,1,764.76
ord_000111,credit_card,4,487.62
ord_000112,credit_card,8,247.8
ord_000113,credit_card,6,136.14
ord_000114,credit_card,3,1100.71
ord_000115,debit_card,1,76.41
ord_000116,credit_card,1,985.99
ord_000117,voucher,1,601.36
ord_000118,credit_card,1,955.64
ord_000119,debit_card,1,220.41
ord_000120,credit_card,3,1120.23
ord_000121,credit_card,2,466.12
ord_000122,boleto,1,502.95
ord_000123,debit_card,1,171.45
ord_000124,credit_card,1,379.73
ord_000125,voucher,1,437.27
ord_000126,boleto,1,273.06
ord_000127,credit_card,2,776.84
ord_000128,credit_card,5,1175.77
ord_000129,credit_card,5,562.61
ord_000130,credit_card,5,353.86
ord_000131,boleto,1,394.89
ord_000132,debit_card,1,222.68
ord_000133,debit_card,1,300.38
ord_000134,credit_card,5,758.3
ord_000135,credit_card,12,145.98
ord_000136,boleto,1,101.05
ord_000137,credit_card,3,1742.5
ord_000138,credit_card,1,44.41
ord_000139,credit_card,1,237.67
ord_000140,boleto,1,109.42
ord_000141,debit_card,1,343.48
ord_000142,boleto,1,802.25
ord_000143,boleto,1,1225.88
ord_000144,credit_card,1,184.69
ord_000145,debit_card,1,690.63
ord_000146,credit_card,4,463.19
ord_000147,debit_card,1,317.37
ord_000148,boleto,1,596.44
ord_000149,boleto,1,192.93
ord_000150,boleto,1,575.14
ord_000151,boleto,1,1053.5
ord_000152,credit_card,4,184.74
ord_000153,boleto,1,420.96
ord_000154,credit_card,4,336.09
ord_000155,boleto,1,121.93
ord_000156,boleto,1,437.82
ord_000157,voucher,1,1437.23
ord_000158,boleto,1,1126.29
ord_000159,credit_card,3,373.8
ord_000160,boleto,1,819.38
ord_000161,boleto,1,58.98
ord_000162,boleto,1,595.19
ord_000163,credit_card,10,1191.47
ord_000164,credit_card,12,434.84
ord_000165,boleto,1,100.31
ord_000166,boleto,1,37.71
ord_000167,credit_card,4,251.18
ord_000168,boleto,1,269.9
ord_000169,credit_card,1,441.87
ord_000170,credit_card,1,604.84
ord_000171,debit_card,1,531.61
ord_000172,credit_card,4,1283.55
ord_000173,credit_card,3,633.04
ord_000174,credit_card,4,432.89
ord_000175,credit_card,2,177.2
ord_000176,credit_card,2,124.5
ord_000177,credit_card,1,749.96
ord_000178,boleto,1,74.32
ord_000179,credit_card,1,583.63
ord_000180,credit_card,6,748.31
ord_000181,credit_card,1,362.84
