order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,customer_state,review_score
ord_000000,cust_05238,delivered,2017-10-09 10:08:00,2017-10-23 10:08:00,2017-10-20 10:08:00,SP,3
ord_000001,cust_00217,delivered,2018-07-13 12:28:00,2018-07-24 12:28:00,2018-07-29 12:28:00,MG,4
ord_000002,cust_02940,delivered,2017-09-28 18:46:00,2017-10-13 18:46:00,2017-10-12 18:46:00,ES,2
ord_000003,cust_00569,delivered,2017-08-22 17:05:00,2017-09-10 17:05:00,2017-09-09 17:05:00,SP,2
ord_000004,cust_02187,processing,2017-03-15 15:10:00,,2017-04-08 15:10:00,SC,
ord_000005,cust_05608,delivered,2017-02-27 10:02:00,2017-03-09 10:02:00,2017-03-13 10:02:00,SP,5
ord_000006,cust_03241,delivered,2018-04-15 09:08:00,2018-04-25 09:08:00,2018-04-26 09:08:00,CE,5
ord_000007,cust_01252,delivered,2018-03-09 15:24:00,2018-03-28 15:24:00,2018-03-25 15:24:00,RS,5
ord_000008,cust_06151,canceled,2017-12-15 08:27:00,,2018-01-02 08:27:00,SP,
ord_000009,cust_04002,delivered,2018-01-07 20:53:00,2018-01-22 20:53:00,2018-01-24 20:53:00,SP,3
ord_000010,cust_03893,delivered,2017-06-19 10:55:00,2017-06-28 10:55:00,2017-06-25 10:55:00,PB,3
ord_000011,cust_02030,delivered,2017-12-13 01:35:00,2017-12-27 01:35:00,2017-12-31 01:35:00,SP,5
ord_000012,cust_02281,delivered,2017-08-08 14:46:00,2017-08-17 14:46:00,2017-08-15 14:46:00,PR,4
ord_000013,cust_02902,delivered,2018-04-24 19:03:00,2018-05-03 19:03:00,2018-05-07 19:03:00,RJ,4
ord_000014,cust_04393,delivered,2018-03-09 09:29:00,2018-03-22 09:29:00,2018-03-20 09:29:00,RJ,2
ord_000015,cust_03329,delivered,2017-08-07 19:57:00,2017-08-10 19:57:00,2017-08-12 19:57:00,MG,5
ord_000016,cust_04552,delivered,2018-05-14 09:18:00,2018-05-17 09:18:00,2018-05-19 09:18:00,PR,5
ord_000017,cust_01289,delivered,2018-06-05 07:11:00,2018-06-14 07:11:00,2018-06-10 07:11:00,SP,4
ord_000018,cust_03434,delivered,2018-08-02 14:59:00,2018-08-08 14:59:00,2018-08-08 14:59:00,PR,5
ord_000019,cust_00594,delivered,2018-07-31 23:04:00,2018-08-13 23:04:00,2018-08-16 23:04:00,SP,1
