order_id,customer_id,order_status,order_purchase_timestamp,customer_state,payment_type,payment_installments,payment_value,n_items,total_product_value,total_freight,primary_category,order_month,order_hour,order_dow,is_completed,was_late,review_score
ord_000000,cust_05238,delivered,2017-10-09 10:08:00,SP,boleto,1,60.19,1,44.1,16.09,computers_accessories,2017-10,10,Monday,1,1,3.0
ord_000001,cust_00217,delivered,2018-07-13 12:28:00,MG,boleto,1,813.24,2,783.1800000000001,30.060000000000002,health_beauty,2018-07,12,Friday,1,0,4.0
ord_000002,cust_02940,delivered,2017-09-28 18:46:00,ES,credit_card,2,579.2,1,538.44,40.76,furniture_decor,2017-09,18,Thursday,1,1,2.0
ord_000003,cust_00569,delivered,2017-08-22 17:05:00,SP,voucher,1,268.37,1,246.67,21.7,garden_tools,2017-08,17,Tuesday,1,1,2.0
ord_000004,cust_02187,processing,2017-03-15 15:10:00,SC,boleto,1,450.01,1,421.4,28.61,pet_shop,2017-03,15,Wednesday,0,0,
ord_000005,cust_05608,delivered,2017-02-27 10:02:00,SP,voucher,1,591.13,1,571.49,19.64,food_drink,2017-02,10,Monday,1,0,5.0
ord_000006,cust_03241,delivered,2018-04-15 09:08:00,CE,credit_card,6,651.7,2,604.05,47.650000000000006,computers_accessories,2018-04,9,Sunday,1,0,5.0
ord_000007,cust_01252,delivered,2018-03-09 15:24:00,RS,credit_card,1,646.61,1,613.44,33.17,watches_gifts,2018-03,15,Friday,1,1,5.0
ord_000008,cust_06151,canceled,2017-12-15 08:27:00,SP,credit_card,4,1834.71,4,1740.03,94.67999999999999,perfumery,2017-12,8,Friday,0,0,
ord_000009,cust_04002,delivered,2018-01-07 20:53:00,SP,voucher,1,629.69,2,567.37,62.32000000000001,food_drink,2018-01,20,Sunday,1,0,3.0
ord_000010,cust_03893,delivered,2017-06-19 10:55:00,PB,boleto,1,783.89,2,719.84,64.05,auto,2017-06,10,Monday,1,1,3.0
ord_000011,cust_02030,delivered,2017-12-13 01:35:00,SP,credit_card,1,66.96,1,57.8,9.16,bed_bath_table,2017-12,1,Wednesday,1,0,5.0
ord_000012,cust_02281,delivered,2017-08-08 14:46:00,PR,debit_card,1,284.97,1,273.48,11.49,housewares,2017-08,14,Tuesday,1,1,4.0
ord_000013,cust_02902,delivered,2018-04-24 19:03:00,RJ,boleto,1,535.42,1,523.38,12.04,cool_stuff,2018-04,19,Tuesday,1,0,4.0
ord_000014,cust_04393,delivered,2018-03-09 09:29:00,RJ,credit_card,6,168.27,2,124.69,43.58,electronics,2018-03,9,Friday,1,1,2.0
ord_000015,cust_03329,delivered,2017-08-07 19:57:00,MG,credit_card,12,327.58,1,303.93,23.65,toys,2017-08,19,Monday,1,0,5.0
ord_000016,cust_04552,delivered,2018-05-14 09:18:00,PR,credit_card,3,80.91,1,51.3,29.61,perfumery,2018-05,9,Monday,1,0,5.0
ord_000017,cust_01289,delivered,2018-06-05 07:11:00,SP,credit_card,4,597.44,1,580.33,17.11,health_beauty,2018-06,7,Tuesday,1,1,4.0
